date,suite,pass_pct,note
2026-06-17,dom,37.57,wave-6 measurement (commit 7f3edeb)
2026-06-18,dom,85.48,cleared 85% pivot target — moving to html next
2026-06-18,html,5.26,starting baseline (pivot from dom)
